i,j,"H(i, j)"
1,1,-16178736517.719568
1,2,16178736517.719568
1,85,8089368258.859784
1,86,8089368258.859784
2,1,16178736517.719568
2,2,-32357473035.439137
2,3,16178736517.719568
2,85,-8089368258.859784
2,87,8089368258.859784
3,2,32857761465.600513
3,3,-49036497983.32008
3,4,16178736517.719568
3,86,-16428880732.800257
3,87,-8339512473.940474
3,88,8089368258.859784
4,3,18181896681.815723
4,4,-34360633199.53529
4,5,16178736517.719568
4,87,-9090948340.907862
4,88,-1001580082.0480778
4,89,8089368258.859784
5,4,17561531606.54853
5,5,-33740268124.2681
5,6,16178736517.719568
5,88,-8780765803.274265
5,89,-691397544.4144814
5,90,8089368258.859784
6,5,17829109601.60601
6,6,-34007846119.32558
6,7,16178736517.719568
6,89,-8914554800.803005
6,90,-825186541.9432205
6,91,8089368258.859784
7,6,17295284313.654232
7,7,-33474020831.373806
7,8,16178736517.719568
7,90,-8647642156.827116
7,91,-558273897.9673331
7,92,8089368258.859784
8,7,17566936247.831516
8,8,-33745672765.551083
8,9,16178736517.719568
8,91,-8783468123.915758
8,92,-694099865.0559733
8,93,8089368258.859784
9,8,17333211614.844498
9,9,-33511948132.56407
9,10,16178736517.719568
9,92,-8666605807.422249
9,93,-577237548.5624659
9,94,8089368258.859784
10,9,16667702339.651497
10,10,-32846438857.371067
10,11,16178736517.719568
10,93,-8333851169.825748
10,94,-244482910.96596307
10,95,8089368258.859784
11,10,16764590034.526138
11,11,-32943326552.245712
11,12,16178736517.719568
11,94,-8382295017.263069
11,95,-292926758.4032852
11,96,8089368258.859784
12,11,16727839638.716114
12,12,-32906576156.435684
12,13,16178736517.719568
12,95,-8363919819.358057
12,96,-274551560.49827373
12,97,8089368258.859784
13,12,16160147036.670155
13,13,-32338883554.389725
13,14,16178736517.719568
13,96,-8080073518.335077
13,97,9294740.524705887
13,98,8089368258.859784
14,13,16113234376.49804
14,14,-32291970894.2176
14,15,16178736517.719568
14,97,-8056617188.24902
14,98,32751070.610765535
14,99,8089368258.859784
15,14,16210950259.895607
15,15,-32389686777.615173
15,16,16178736517.719568
15,98,-8105475129.9478035
15,99,-16106871.088018168
15,100,8089368258.859784
16,15,16196087697.049608
16,16,-32374824214.769173
16,17,16178736517.719568
16,99,-8098043848.524804
16,100,-8675589.66501988
16,101,8089368258.859784
17,16,16049417988.936014
17,17,-32228154506.65558
17,18,16178736517.719568
17,100,-8024708994.468007
17,101,64659264.391777344
17,102,8089368258.859784
18,17,15847023355.997904
18,18,-32025759873.717472
18,19,16178736517.719568
18,101,-7923511677.998952
18,102,165856580.86083212
18,103,8089368258.859784
19,18,15800762729.409939
19,19,-31979499247.12951
19,20,16178736517.719568
19,102,-7900381364.704969
19,103,188986894.15481433
19,104,8089368258.859784
20,19,15989702061.775965
20,20,-32168438579.495533
20,21,16178736517.719568
20,103,-7994851030.887982
20,104,94517227.97180237
20,105,8089368258.859784
21,20,16159554616.1614
21,21,-32338291133.88097
21,22,16178736517.719568
21,104,-8079777308.0807
21,105,9590950.779083693
21,106,8089368258.859784
22,21,16161960433.875614
22,22,-32340696951.59518
22,23,16178736517.719568
22,105,-8080980216.937807
22,106,8388041.921977947
22,107,8089368258.859784
23,22,16172745169.790956
23,23,-32351481687.51053
23,24,16178736517.719568
23,106,-8086372584.895478
23,107,2995673.9643053836
23,108,8089368258.859784
24,23,16215950390.460154
24,24,-32394686908.179718
24,25,16178736517.719568
24,107,-8107975195.230077
24,108,-18606936.370293085
24,109,8089368258.859784
25,24,15949645247.637093
25,25,-32128381765.356663
25,26,16178736517.719568
25,108,-7974822623.818546
25,109,114545635.04123707
25,110,8089368258.859784
26,25,15544055164.123104
26,26,-31722791681.842674
26,27,16178736517.719568
26,109,-7772027582.061552
26,110,317340676.7982327
26,111,8089368258.859784
27,26,15857821114.559078
27,27,-32036557632.278645
27,28,16178736517.719568
27,110,-7928910557.279539
27,111,160457701.5802455
27,112,8089368258.859784
28,27,15961313614.506258
28,28,-32140050132.225826
28,29,16178736517.719568
28,111,-7980656807.253129
28,112,108711451.6066546
28,113,8089368258.859784
29,28,15747780521.479143
29,29,-31926517039.19871
29,30,16178736517.719568
29,112,-7873890260.739572
29,113,215477998.1202126
29,114,8089368258.859784
30,29,15798165327.246675
30,30,-31976901844.966244
30,31,16178736517.719568
30,113,-7899082663.623338
30,114,190285595.23644662
30,115,8089368258.859784
31,30,16058515140.856215
31,31,-32237251658.575783
31,32,16178736517.719568
31,114,-8029257570.428107
31,115,60110688.43167741
31,116,8089368258.859784
32,31,15854692154.381084
32,32,-32033428672.10065
32,33,16178736517.719568
32,115,-7927346077.190542
32,116,162022181.66924223
32,117,8089368258.859784
33,32,15673123398.521006
33,33,-31851859916.240578
33,34,16178736517.719568
33,116,-7836561699.260503
33,117,252806559.59928006
33,118,8089368258.859784
34,33,15967842765.371548
34,34,-32146579283.091114
34,35,16178736517.719568
34,117,-7983921382.685774
34,118,105446876.17401029
34,119,8089368258.859784
35,34,15827248877.250406
35,35,-32005985394.969975
35,36,16178736517.719568
35,118,-7913624438.625203
35,119,175743820.2345814
35,120,8089368258.859784
36,35,15729203963.536957
36,36,-31907940481.256523
36,37,16178736517.719568
36,119,-7864601981.768478
36,120,224766277.0913061
36,121,8089368258.859784
37,36,15937227383.872126
37,37,-32115963901.591694
37,38,16178736517.719568
37,120,-7968613691.936063
37,121,120754566.92372139
37,122,8089368258.859784
38,37,16070611729.935907
38,38,-32249348247.655476
38,39,16178736517.719568
38,121,-8035305864.967954
38,122,54062393.8918305
38,123,8089368258.859784
39,38,15709126192.130753
39,39,-31887862709.850323
39,40,16178736517.719568
39,122,-7854563096.065376
39,123,234805162.79440692
39,124,8089368258.859784
40,39,15666836043.731403
40,40,-31845572561.450974
40,41,16178736517.719568
40,123,-7833418021.865702
40,124,255950236.99408183
40,125,8089368258.859784
41,40,15614314213.100622
41,41,-31793050730.82019
41,42,16178736517.719568
41,124,-7807157106.550311
41,125,282211152.3094726
41,126,8089368258.859784
42,41,15617401960.819365
42,42,-31796138478.538933
42,43,16178736517.719568
42,125,-7808700980.409682
42,126,280667278.4501019
42,127,8089368258.859784
43,42,15304513259.809544
43,43,-31483249777.529114
43,44,16178736517.719568
43,126,-7652256629.904772
43,127,437111628.95501304
43,128,8089368258.859784
44,43,15512742822.802217
44,44,-31691479340.521786
44,45,16178736517.719568
44,127,-7756371411.401109
44,128,332996847.4586754
44,129,8089368258.859784
45,44,15216714334.713177
45,45,-31395450852.432747
45,46,16178736517.719568
45,128,-7608357167.356588
45,129,481011091.50319636
45,130,8089368258.859784
46,45,15365415939.329048
46,46,-31544152457.048615
46,47,16178736517.719568
46,129,-7682707969.664524
46,130,406660289.19525975
46,131,8089368258.859784
47,46,15264038741.372602
47,47,-31442775259.092175
47,48,16178736517.719568
47,130,-7632019370.686301
47,131,457348888.1734828
47,132,8089368258.859784
48,47,15129178518.450588
48,48,-31307915036.17016
48,49,16178736517.719568
48,131,-7564589259.225294
48,132,524778999.6344895
48,133,8089368258.859784
49,48,15265089548.241978
49,49,-31443826065.961544
49,50,16178736517.719568
49,132,-7632544774.120989
49,133,456823484.73879534
49,134,8089368258.859784
50,49,15007344233.24676
50,50,-31186080750.966328
50,51,16178736517.719568
50,133,-7503672116.62338
50,134,585696142.2364035
50,135,8089368258.859784
51,50,15073182467.621767
51,51,-31251918985.34133
51,52,16178736517.719568
51,134,-7536591233.8108835
51,135,552777025.048901
51,136,8089368258.859784
52,51,15123138164.783747
52,52,-31301874682.503315
52,53,16178736517.719568
52,135,-7561569082.391873
52,136,527799176.4679102
52,137,8089368258.859784
53,52,14979305445.739462
53,53,-31158041963.459034
53,54,16178736517.719568
53,136,-7489652722.869731
53,137,599715535.9900526
53,138,8089368258.859784
54,53,14900274030.113243
54,54,-31079010547.83281
54,55,16178736517.719568
54,137,-7450137015.056622
54,138,639231243.8031628
54,139,8089368258.859784
55,54,15117840758.671753
55,55,-31296577276.391323
55,56,16178736517.719568
55,138,-7558920379.335876
55,139,530447879.52390707
55,140,8089368258.859784
56,55,15202857940.715313
56,56,-31381594458.43488
56,57,16178736517.719568
56,139,-7601428970.3576565
56,140,487939288.50212777
56,141,8089368258.859784
57,56,15333723280.6097
57,57,-31512459798.329266
57,58,16178736517.719568
57,140,-7666861640.30485
57,141,422506618.55493504
57,142,8089368258.859784
58,57,15402967839.865076
58,58,-31581704357.58465
58,59,16178736517.719568
58,141,-7701483919.932538
58,142,387884338.92724556
58,143,8089368258.859784
59,58,15404633232.934278
59,59,-31583369750.65385
59,60,16178736517.719568
59,142,-7702316616.467139
59,143,387051642.39264375
59,144,8089368258.859784
60,59,15516048216.461418
60,60,-31694784734.18099
60,61,16178736517.719568
60,143,-7758024108.230709
60,144,331344150.62907517
60,145,8089368258.859784
61,60,15621688307.530832
61,61,-31800424825.2504
61,62,16178736517.719568
61,144,-7810844153.765416
61,145,278524105.09436804
61,146,8089368258.859784
62,61,15663330896.43312
62,62,-31842067414.15269
62,63,16178736517.719568
62,145,-7831665448.21656
62,146,257702810.64322302
62,147,8089368258.859784
63,62,15715254693.204107
63,63,-31893991210.92368
63,64,16178736517.719568
63,146,-7857627346.602054
63,147,231740912.25773016
63,148,8089368258.859784
64,63,15782842846.346516
64,64,-31961579364.066082
64,65,16178736517.719568
64,147,-7891421423.173258
64,148,197946835.6865265
64,149,8089368258.859784
65,64,15862744478.684427
65,65,-32041480996.403996
65,66,16178736517.719568
65,148,-7931372239.342214
65,149,157996019.51756954
65,150,8089368258.859784
66,65,15942276233.059917
66,66,-32121012750.779484
66,67,16178736517.719568
66,149,-7971138116.529959
66,150,118230142.32982664
66,151,8089368258.859784
67,66,16007082801.134869
67,67,-32185819318.854435
67,68,16178736517.719568
67,150,-8003541400.567434
67,151,85826858.2923502
67,152,8089368258.859784
68,67,16051577383.034632
68,68,-32230313900.7542
68,69,16178736517.719568
68,151,-8025788691.517316
68,152,63579567.34246868
68,153,8089368258.859784
69,68,16082317335.56561
69,69,-32261053853.28518
69,70,16178736517.719568
69,152,-8041158667.782805
69,153,48209591.076979056
69,154,8089368258.859784
70,69,16100018630.062029
70,70,-32278755147.781593
70,71,16178736517.719568
70,153,-8050009315.031014
70,154,39358943.82877057
70,155,8089368258.859784
71,70,16109418410.253666
71,71,-32288154927.973232
71,72,16178736517.719568
71,154,-8054709205.126833
71,155,34659053.73295159
71,156,8089368258.859784
72,71,16112631381.683777
72,72,-32291367899.403347
72,73,16178736517.719568
72,155,-8056315690.841888
72,156,33052568.01789593
72,157,8089368258.859784
73,72,16109707593.324661
73,73,-32288444111.04423
73,74,16178736517.719568
73,156,-8054853796.662331
73,157,34514462.19745301
73,158,8089368258.859784
74,73,16102228152.906048
74,74,-32280964670.625614
74,75,16178736517.719568
74,157,-8051114076.453024
74,158,38254182.40676002
74,159,8089368258.859784
75,74,16089739841.1368
75,75,-32268476358.85637
75,76,16178736517.719568
75,158,-8044869920.5684
75,159,44498338.29138389
75,160,8089368258.859784
76,75,16081905886.204435
76,76,-32260642403.924
76,77,16178736517.719568
76,159,-8040952943.102218
76,160,48415315.75756745
76,161,8089368258.859784
77,76,16083704464.758883
77,77,-32262440982.47845
77,78,16178736517.719568
77,160,-8041852232.379441
77,161,47516026.48034331
77,162,8089368258.859784
78,77,16094023316.36979
78,78,-32272759834.089355
78,79,16178736517.719568
78,161,-8047011658.184895
78,162,42356600.67488912
78,163,8089368258.859784
79,78,16112294138.13587
79,79,-32291030655.85544
79,80,16178736517.719568
79,162,-8056147069.067935
79,163,33221189.791849233
79,164,8089368258.859784
80,79,16142518855.68488
80,80,-32321255373.404446
80,81,16178736517.719568
80,163,-8071259427.84244
80,164,18108831.017344337
80,165,8089368258.859784
81,80,16172698549.301264
81,81,-32351435067.020832
81,82,16178736517.719568
81,164,-8086349274.650632
81,165,3018984.209153126
81,166,8089368258.859784
82,81,16179742986.654634
82,82,-32358479504.374203
82,83,16178736517.719568
82,165,-8089871493.327317
82,166,-503234.4675331423
82,167,8089368258.859784
83,82,16178736517.719568
83,83,-32357473035.439137
83,84,16178736517.719568
83,166,-8089368258.859784
83,168,8089368258.859784
84,83,16178736517.719568
84,84,-16178736517.719568
84,167,-8089368258.859784
84,168,-8089368258.859784
85,1,5075184477.669112
85,2,-5075184477.669112
85,85,-282044525983.0564
85,86,276969341505.3873
86,1,5075184477.669112
86,3,-5075184477.669112
86,85,276969341505.3873
86,86,-564089051966.1128
86,87,276969341505.3873
87,2,20933342223.028854
87,3,-10626035420.762243
87,4,-10307306802.266607
87,86,1142400643076.1367
87,87,-1447994572444.5208
87,88,274353280343.08856
88,3,13017703329.110464
88,4,-1434203768.3547034
88,5,-11583499560.75576
88,87,346496876379.89276
88,88,-644813263233.603
88,89,273715183963.844
89,4,13648199475.743874
89,5,-1074659296.765392
89,6,-12573540178.97848
89,88,322503524145.23145
89,89,-621945427454.6864
89,90,273220163654.73264
90,5,15269600646.016876
90,6,-1413449043.2214994
90,7,-13856151602.795378
90,89,331804943401.8739
90,90,-633509553593.5103
90,91,272578857942.8242
91,6,15834663301.405949
91,7,-1022253123.3322527
91,8,-14812410178.073698
91,90,311500231978.9589
91,91,-614248034113.6237
91,92,272100728655.18503
92,7,17463390913.35677
92,8,-1380017221.6002564
92,9,-16083373691.756508
92,91,320798663768.34753
92,92,-625810675271.8044
92,93,271465246898.3436
93,8,18460609112.965553
93,9,-1229565182.2783973
93,10,-17231043930.68716
93,92,311589714122.82697
93,93,-618172778945.358
93,94,270891411778.8783
94,9,18288321892.734566
94,10,-536508521.9192588
94,11,-17751813370.815304
94,93,287513011777.9153
94,94,-594184174100.2793
94,95,270631027058.8142
95,10,19060724051.020504
95,11,-666093963.2387244
95,12,-18394630087.781776
95,94,290585711930.30774
95,95,-598350684769.4409
95,96,270309618700.33096
96,11,19664439271.549644
96,12,-645499072.7950169
96,13,-19018940198.754623
96,95,288969501212.15497
96,96,-597650344327.3038
96,97,269997463644.84454
97,12,18975259518.124214
97,13,21827785.75092245
97,14,-18997087303.875137
97,96,269377362164.0447
97,97,-577358099078.3284
97,98,270008390092.2843
98,13,18843573347.877007
98,14,76601281.5124938
98,15,-18920174629.3895
98,97,267826473704.1179
98,98,-575637068110.9115
98,99,270046846429.5271
99,14,18995594166.516224
99,15,-37747273.488007985
99,16,-18957846893.028217
99,98,271123306269.8401
99,99,-579104757627.0923
99,100,270028010297.70776
100,15,18998532071.39952
100,16,-20353491.728648484
100,17,-18978178579.670868
100,99,270607513752.19818
100,100,-578602068857.6549
100,101,270017844454.3864
101,16,18676001502.205433
101,17,150482281.63099733
101,18,-18826483783.836433
101,100,265718527596.43756
101,101,-573314704734.7832
101,102,270093691852.30365
102,17,18062397934.31749
102,18,378085839.3699274
102,19,-18440483773.687416
102,101,259131752790.38177
102,102,-565921326355.7649
102,103,270286691857.37814
103,18,17588921430.618637
103,19,420748756.20005006
103,20,-18009670186.818687
103,102,257805133811.336
103,103,-563905824079.5858
103,104,270502098650.81253
104,19,17591274202.116432
104,20,207968662.2867884
104,21,-17799242864.40322
104,103,264217864083.77042
104,104,-570215693462.3103
104,105,270607312312.02026
105,20,17757061458.68182
105,21,21078192.62061281
105,22,-17778139651.302437
105,104,269966015549.0754
105,105,-576119080577.6304
105,106,270617863918.57065
106,21,17741289686.98525
106,22,18415424.570953704
106,23,-17759705111.556202
106,105,270056935788.59833
106,106,-576185011775.5835
106,107,270627081188.44376
107,22,17746553915.191757
107,23,6574380.411209914
107,24,-17753128295.602966
107,106,270426679781.78253
107,107,-576556731588.9977
107,108,270630369596.42038
108,23,17834892712.151394
108,24,-40929172.31187805
108,25,-17793963539.839516
108,107,271876794108.30865
108,108,-578115602334.6018
108,109,270609951974.3021
109,24,17293605498.907803
109,25,248395120.17591622
109,26,-17542000619.083717
109,108,263000525040.0875
109,109,-568572064592.759
109,110,270735933434.68
110,25,16192674099.508741
110,26,661165198.3546218
110,27,-16853839297.863363
110,109,249910989762.75455
110,110,-554037517255.4169
110,111,271080014095.2902
111,26,16191857495.260738
111,27,327675311.66297287
111,28,-16519532806.92371
111,110,260432586336.6136
111,111,-564391143979.558
111,112,271247167340.76
112,27,16078510662.553
112,28,219019345.90278774
112,29,-16297530008.45579
112,111,264005678807.56342
112,112,-567739888218.5662
112,113,271358168739.99396
113,28,15440853110.865543
113,29,422556577.170921
113,30,-15863409688.036463
113,112,257094272676.52078
113,113,-559973764375.6265
113,114,271575228900.20364
114,29,15125879793.289536
114,30,364376113.3423538
114,31,-15490255906.631891
114,113,258949012095.26953
114,114,-561326953586.0969
114,115,271761805790.9059
115,30,15260900440.417202
115,31,114250069.01501799
115,32,-15375150509.432219
115,114,267737982295.52817
115,115,-570193391734.8833
115,116,271819358489.50577
116,31,14765419801.165686
116,32,301781391.4205869
116,33,-15067201192.58627
116,115,261039847103.8652
116,116,-562845801245.5459
116,117,271973333147.92874
117,32,14140165375.227198
117,33,456160073.49414223
117,34,-14596325448.721342
117,116,255239699743.02542
117,117,-556184961586.8351
117,118,272208771019.8612
118,33,14218272339.549816
118,34,187786468.69547617
118,35,-14406058808.24529
118,117,265158409434.7245
118,118,-566086644922.6189
118,119,272303904340.0992
119,34,13786906865.718327
119,35,306176228.1734775
119,36,-14093083093.891804
119,118,260600669362.78867
119,119,-560941051519.6748
119,120,272460392197.27597
120,35,13320799641.82085
120,36,380701598.1625066
120,37,-13701501239.983356
120,119,257529901059.39877
120,120,-557208385065.4332
120,121,272656183124.2302
121,36,13295494286.800434
121,37,201476908.87112468
121,38,-13496971195.67156
121,120,264576754145.0384
121,121,-564127667773.8964
121,122,272758448146.38608
122,37,13317169688.996214
122,38,89599336.3973495
122,39,-13406769025.393562
122,121,269124864046.3565
122,122,-568652351992.2714
122,123,272803549231.5251
123,38,12639764419.768793
123,39,377854491.20059633
123,40,-13017618910.969389
123,122,257196390020.0072
123,123,-555851897639.4825
123,124,272998124288.73718
124,39,12206887607.182587
124,40,398849616.7697647
124,41,-12605737223.952353
124,123,255995926978.33228
124,124,-554012616941.7129
124,125,273204065132.2457
125,40,11741534927.794552
125,41,424430052.6595874
125,42,-12165964980.454138
125,124,254474214095.98038
125,125,-551805665258.2239
125,126,273423951253.99478
126,41,11336394067.028975
126,42,407462762.1435666
126,43,-11743856829.172544
126,125,254779761717.159
126,126,-551495017942.9961
126,127,273635005329.6356
127,42,10508980531.628857
127,43,600293197.2883891
127,44,-11109273728.917244
127,126,244862057296.03668
127,127,-540432608436.346
127,128,273952296879.76324
128,43,10213477781.900301
128,44,438485436.36819726
128,45,-10651963218.2685
128,127,251862161808.00888
128,128,-546908554943.2654
128,129,274180952135.08762
129,44,9422848939.027866
129,45,595725825.3697727
129,46,-10018574764.397636
129,128,242543617640.06586
129,129,-536482687705.5144
129,130,274497646362.02304
130,45,9036606702.320068
130,46,478324714.3350378
130,47,-9514931416.655107
130,129,247592829241.64337
130,130,-540893835396.5128
130,131,274749468035.89432
131,46,8469453286.240128
131,47,507532129.5405533
131,48,-8976985415.78068
131,130,244560647160.96094
131,131,-537025526899.31323
131,132,275018441036.33154
132,47,7850042534.28635
132,48,544581777.9474354
132,49,-8394624312.233787
132,131,240493479699.0061
132,132,-532047768133.6312
132,133,275309621588.105
133,48,7473271716.912335
133,49,447290665.0603889
133,50,-7920562381.972724
133,132,245092994264.17538
133,133,-536033480916.2959
133,134,275546652553.2355
134,49,6815135625.011964
134,50,531952700.2711827
134,51,-7347088325.283147
134,133,237090211225.71292
134,134,-527085824757.5883
134,135,275833389581.58026
135,50,6377287105.38386
135,51,467746980.64847517
135,52,-6845034086.032335
135,134,239423924244.86642
135,135,-528730662137.4883
135,136,276084416701.2057
136,51,5980951082.04266
136,52,417471694.19477576
136,53,-6398422776.237434
136,135,241232895271.28183
136,136,-529919991485.6651
136,137,276307722356.10315
137,52,5484879382.46441
137,53,439188237.4801324
137,54,-5924067619.944542
137,136,236857516698.4953
137,137,-524811363635.1538
137,138,276544899934.2496
138,53,5024806170.482457
138,54,431134768.6271911
138,55,-5455940939.109649
138,137,234565945015.00296
138,138,-521825655399.26215
138,139,276778963274.66705
139,54,4763870956.125588
139,55,334305048.8943457
139,56,-5098176005.019935
139,138,241670369809.00836
139,139,-528490262511.8658
139,140,276957845741.7119
140,55,4501695285.712071
140,56,288965930.39668703
140,57,-4790661216.108759
140,139,244554096855.187
140,140,-530958056493.1753
140,141,277111603136.1675
141,56,4303298758.113755
141,57,237146865.59153816
141,58,-4540445623.705293
141,140,248920548509.04092
141,141,-535001003823.22925
141,142,277236710932.3692
142,57,4115457221.1504736
142,58,207274522.70306024
142,59,-4322731743.853534
142,141,251287190406.55148
142,142,-537070947243.8506
142,143,277345567872.2951
143,58,3918968802.2419825
143,59,196933388.60549587
143,60,-4115902190.847479
143,142,251440221678.5901
143,143,-536924075320.4777
143,144,277448982648.7981
144,59,3785629281.9450817
144,60,161683709.862654
144,61,-3947312991.8077364
144,143,255185605551.2579
144,144,-540451825073.32874
144,145,277533277248.318
145,60,3680173519.0805864
145,61,131229994.58384736
145,62,-3811403513.664433
145,144,258750856522.56757
145,145,-543843665542.7023
145,146,277601231987.38965
146,61,3572432000.3354135
146,62,117551722.98988767
146,63,-3689983723.3253016
146,145,260195888713.66055
146,146,-545120246319.8805
146,147,277661941882.5592
147,62,3481593747.6056223
147,63,102680831.70549445
147,64,-3584274579.3111167
147,146,261981123302.94714
147,147,-546761788084.43024
147,148,277714796454.5663
148,63,3411006381.405911
148,64,85561001.43418042
148,65,-3496567382.840091
148,147,264289725007.4614
148,148,-548955948824.50916
148,149,277758650052.8018
149,64,3361316091.506
149,65,66958723.75829218
149,66,-3428274815.2642927
149,148,267014622557.9445
149,149,-551597009801.3044
149,150,277792796336.5897
150,65,3328795253.91092
150,66,49373619.0369849
150,67,-3378168872.9479046
150,149,269731976531.93225
150,150,-554256789966.5391
150,151,277817849307.7479
151,66,3306865523.4570484
151,67,35461536.8958402
151,68,-3342327060.3528886
151,150,271953920075.96207
151,151,-556438882873.8174
151,152,277835770214.0454
152,67,3289994517.2601776
152,68,26063037.043023657
152,69,-3316057554.3032007
152,151,273485551891.63864
152,152,-557940508930.2723
152,153,277848904967.07025
153,68,3276650420.4861465
153,69,19644678.509671133
153,70,-3296295098.995818
153,152,274547023501.00504
153,153,-558978755215.2109
153,154,277858786194.72394
154,69,3264296785.4778614
154,70,15960139.770293482
154,71,-3280256925.2481546
154,153,275161511743.451
154,154,-559572870735.7748
154,155,277866805281.5978
155,70,3252208493.623463
155,71,13994107.802118009
155,72,-3266202601.425581
155,154,275490854779.4515
155,155,-559883098318.0095
155,156,277873832443.5091
156,71,3239566199.361534
156,72,13290936.733598163
156,73,-3252857136.0951324
156,155,275607727113.4807
156,156,-559980655625.1117
156,157,277880505176.1743
157,72,3225158779.0301123
157,73,13819570.605458248
157,74,-3238978349.6355705
157,156,275514328878.9216
157,157,-559865910576.9915
157,158,277887444569.40405
158,73,3208416877.8624105
158,74,15244519.369268218
158,75,-3223661397.2316785
158,157,275265429731.2132
158,158,-559592611051.9133
158,159,277895103045.606
159,74,3188293237.5497165
159,75,17635307.028879214
159,76,-3205928544.5785956
159,158,274846197727.0162
159,159,-559144388981.0771
159,160,277903969471.93256
160,75,3167668065.0118213
160,76,19072820.182870265
160,77,-3186740885.1946917
160,159,274587383029.76532
160,160,-558855355281.5963
160,161,277913563301.6245
161,76,3149413730.8760877
161,77,18608601.838184603
161,78,-3168022332.714272
161,160,274658286880.25366
161,161,-558898645521.7087
161,162,277922922577.86475
162,77,3134933135.5406075
162,78,16501170.447480489
162,79,-3151434305.988088
162,161,275020087490.7203
162,162,-559237671523.4769
162,163,277931216591.22784
163,78,3125603013.3948517
163,79,12889070.920844013
163,80,-3138492084.315696
163,162,275653103871.9112
163,163,-559854886671.6858
163,164,277937687702.064
164,79,3124456177.847084
164,80,7010089.249585069
164,81,-3131466267.0966697
164,163,276694699896.4921
164,164,-560891822952.1095
164,165,277941200610.6735
165,80,3129129352.073686
165,81,1168239.4343170587
165,82,-3130297591.508003
165,164,277733781813.27563
165,165,-561934993705.3252
165,166,277941784948.46783
166,81,3130687071.276919
166,82,-194745.9415920773
166,83,-3130492325.3353267
166,165,277976367188.33777
166,166,-562179234166.5042
166,167,277941687581.5542
167,82,3130492325.3353267
167,84,-3130492325.3353267
167,166,277941687581.5542
167,167,-562144359813.779
167,168,277941687581.5542
168,83,3130492325.3353267
168,84,-3130492325.3353267
168,167,277941687581.5542
168,168,-281072179906.8895
